Date	BTC Price	EOS Price	XIN Price	ETH Price	DOT Price	MOB Price	UNI Price	BOX Price
2019-07-12	$11,798.52	$4.80	$228.27	$0.00	$0.00	$0.00	$0.00	$2.08
2019-07-13	$11,414.99	$4.76	$211.40	$0.00	$0.00	$0.00	$0.00	$2.02
2019-07-14	$10,267.75	$4.12	$195.16	$0.00	$0.00	$0.00	$0.00	$1.80
2019-07-15	$10,884.68	$4.29	$206.54	$0.00	$0.00	$0.00	$0.00	$1.90
2019-07-16	$9,481.86	$3.69	$183.30	$0.00	$0.00	$0.00	$0.00	$1.65
2019-07-17	$9,721.11	$3.94	$195.98	$0.00	$0.00	$0.00	$0.00	$1.72
2019-07-18	$10,638.96	$4.10	$202.46	$0.00	$0.00	$0.00	$0.00	$1.84
2019-07-19	$10,523.36	$4.03	$205.83	$0.00	$0.00	$0.00	$0.00	$1.82
2019-07-20	$10,761.59	$4.31	$217.04	$0.00	$0.00	$0.00	$0.00	$1.90
2019-07-21	$10,605.36	$4.33	$218.24	$0.00	$0.00	$0.00	$0.00	$1.88
2019-07-22	$10,394.23	$4.14	$210.03	$0.00	$0.00	$0.00	$0.00	$1.83
2019-07-23	$9,926.15	$4.17	$201.71	$0.00	$0.00	$0.00	$0.00	$1.78
2019-07-24	$9,800.90	$4.60	$204.16	$0.00	$0.00	$0.00	$0.00	$1.83
2019-07-25	$9,907.50	$4.56	$216.34	$0.00	$0.00	$0.00	$0.00	$1.85
2019-07-26	$9,860.21	$4.61	$217.75	$0.00	$0.00	$0.00	$0.00	$1.85
2019-07-27	$9,503.89	$4.28	$211.28	$0.00	$0.00	$0.00	$0.00	$1.76
2019-07-28	$9,534.28	$4.23	$213.94	$0.00	$0.00	$0.00	$0.00	$1.76
2019-07-29	$9,506.81	$4.21	$214.01	$0.00	$0.00	$0.00	$0.00	$1.75
2019-07-30	$9,573.65	$4.20	$213.44	$0.00	$0.00	$0.00	$0.00	$1.76
2019-07-31	$10,069.30	$4.41	$217.80	$0.00	$0.00	$0.00	$0.00	$1.84
2019-08-01	$10,375.25	$4.30	$218.42	$0.00	$0.00	$0.00	$0.00	$1.86
2019-08-02	$10,524.86	$4.19	$212.92	$0.00	$0.00	$0.00	$0.00	$1.85
2019-08-03	$10,809.32	$4.29	$221.98	$0.00	$0.00	$0.00	$0.00	$1.90
2019-08-04	$10,928.00	$4.21	$223.93	$0.00	$0.00	$0.00	$0.00	$1.90
2019-08-05	$11,775.79	$4.45	$234.40	$0.00	$0.00	$0.00	$0.00	$2.03
